tingkat_kelas,jalur_masuk,pendapatan_ortu,jumlah_tanggungan,jarak_rumah_km,riwayat_tunggakan_bulan,nominal_tagihan,status_pembayaran
0,3,1902980.0,3,32,2,1500000,0
0,1,10926944.0,4,28,0,500000,0
1,3,12766958.0,5,106,1,1500000,1
5,3,11057540.0,2,105,3,500000,0
2,3,9057260.0,1,70,0,500000,0
3,3,8432667.0,1,62,2,500000,0
0,3,11337695.0,5,34,2,750000,1
4,3,4031528.0,4,87,1,500000,0
0,3,3608542.0,4,114,2,1000000,0
4,3,8422496.0,5,106,0,1500000,0
2,3,10826243.0,4,56,0,750000,0
2,3,5002626.0,1,113,1,1500000,0
2,3,2886689.0,1,13,0,500000,0
4,3,13704734.0,2,18,3,750000,1
0,2,12955591.0,5,113,0,1000000,0
2,3,4346230.0,3,39,0,500000,0
1,3,3618433.0,3,79,0,1500000,0
4,3,14345005.0,2,146,3,1000000,1
4,0,7053535.0,2,30,2,500000,0
0,2,5178621.0,4,98,0,1000000,1
4,3,6056766.0,2,58,1,500000,0
4,3,7727018.0,2,67,3,750000,0
2,1,6500546.0,3,71,1,500000,1
0,3,11186599.0,4,146,0,750000,1
2,3,8471138.0,2,106,1,500000,0
2,3,13620012.0,2,7,0,500000,0
0,3,11702796.0,4,40,3,1500000,1
3,1,11995967.0,5,70,1,1000000,0
2,2,10107009.0,4,68,1,1000000,0
1,3,10873740.0,3,49,0,1000000,0
1,3,10047900.0,5,52,0,500000,0
4,1,14579674.0,1,114,2,500000,0
1,0,9045189.0,4,107,0,500000,0
4,3,13056367.0,3,29,0,750000,0
3,1,10352545.0,5,149,2,750000,0
0,1,12852999.0,4,78,0,1500000,0
0,2,4181206.0,2,9,0,500000,0
0,3,11080705.0,4,76,2,1000000,1
1,3,8143433.0,1,42,3,1000000,0
3,0,1687771.0,4,128,3,1500000,1
1,3,1737199.0,5,20,0,1000000,0
1,0,8790213.0,5,72,0,1500000,0
3,3,4357281.0,4,65,2,500000,0
3,3,12621089.0,5,113,2,1000000,1
3,3,14723385.0,2,24,3,500000,1
3,3,3774316.0,4,128,1,750000,1
0,1,13491223.0,2,83,0,1000000,0
5,0,11471822.0,2,63,1,750000,1
5,0,2251518.0,3,60,1,1000000,1
3,3,9727323.0,4,99,2,500000,1
5,3,2013313.0,5,62,0,1500000,1
5,3,13820194.0,2,30,0,500000,0
3,3,13102823.0,3,22,2,500000,1
5,3,8211492.0,4,126,1,500000,0
1,3,3832214.0,4,42,2,1000000,1
4,3,12218837.0,1,98,3,1500000,0
4,3,6581820.0,1,31,0,750000,0
3,1,6766662.0,2,112,3,500000,0
0,0,11752070.0,1,146,2,1000000,0
3,3,10542832.0,2,122,0,750000,0
0,3,3750397.0,5,17,3,500000,1
4,2,11887892.0,2,38,3,750000,0
3,3,11890284.0,1,142,1,500000,1
2,0,9791860.0,5,110,0,750000,0
1,0,11573140.0,1,22,3,750000,0
5,3,8211492.0,2,56,3,1500000,0
0,3,9226360.0,3,119,1,1500000,0
2,3,9346613.0,4,147,3,500000,1
5,3,2972542.0,1,57,3,1000000,0
5,3,9833648.0,2,35,3,1500000,0
3,0,5973014.0,5,114,1,750000,0
5,3,14745462.0,1,125,3,1500000,0
1,3,2062621.0,1,129,3,1500000,1
2,1,5029801.0,4,52,0,500000,0
5,2,6308163.0,2,85,0,1500000,0
3,3,7784851.0,3,65,1,1500000,0
1,3,3098099.0,5,129,2,750000,1
4,3,14083071.0,2,21,0,1500000,0
2,3,13701841.0,5,16,1,750000,1
5,3,11100177.0,1,123,3,1500000,0
3,3,14449915.0,4,61,3,1500000,0
4,1,2695885.0,4,54,1,1000000,1
4,3,11044691.0,3,26,3,1500000,0
0,0,11862932.0,4,80,3,750000,1
1,1,5398190.0,1,65,2,750000,1
5,3,8886133.0,3,100,3,500000,0
3,0,4888445.0,2,74,0,500000,0
0,3,4242974.0,4,17,3,1000000,1
1,1,13380707.0,3,121,1,750000,0
0,3,11167788.0,1,23,2,750000,1
2,3,8211492.0,5,135,3,750000,0
1,3,9697590.0,5,71,1,1000000,0
1,0,9682535.0,1,108,0,750000,0
5,2,9566513.0,1,79,3,500000,0
1,3,14419819.0,5,46,2,1000000,0
0,0,4084182.0,3,78,3,500000,0
1,3,11696894.0,5,16,1,500000,0
5,3,14488365.0,1,71,2,1000000,1
5,3,14753921.0,4,96,3,1500000,0
2,3,5863089.0,2,147,0,1500000,0
0,3,4297921.0,4,2,2,500000,1
4,1,14262750.0,4,10,0,1500000,1
4,3,10157768.0,1,125,1,750000,0
1,3,12458539.0,5,81,3,1000000,1
2,3,1941904.0,3,140,0,500000,0
3,0,6570414.0,4,70,1,750000,0
1,1,6592792.0,5,32,3,1500000,1
2,3,2078526.0,3,105,1,750000,1
0,0,8112208.0,4,84,0,1500000,1
0,3,9087676.0,3,129,1,500000,0
0,0,2337393.0,5,58,2,750000,1
0,3,13234111.0,2,146,3,1000000,0
0,1,6634544.0,5,134,1,500000,1
2,3,2314422.0,1,45,0,750000,1
2,3,6805431.0,3,97,3,750000,0
5,2,10623591.0,2,23,2,1500000,1
4,3,3763429.0,3,23,3,500000,0
0,3,4635812.0,3,135,2,500000,1
3,3,14163723.0,4,79,3,500000,1
2,3,12764888.0,1,44,1,500000,0
3,3,4438687.0,3,27,1,1500000,0
3,3,6653435.0,5,26,0,1000000,0
3,3,2916842.0,5,97,2,500000,0
5,3,12219864.0,4,36,0,1500000,1
2,0,5189024.0,1,109,1,1000000,1
3,3,5896650.0,1,55,2,1000000,0
0,3,5202418.0,5,69,0,1500000,0
1,3,12170216.0,2,61,0,500000,0
3,3,13818618.0,4,130,0,1000000,1
5,0,5141771.0,4,55,0,500000,0
2,3,7928099.0,5,122,0,500000,0
5,3,5579441.0,5,97,2,750000,0
3,2,6856430.0,2,80,0,500000,0
2,2,8275602.0,2,87,2,750000,1
1,3,2460652.0,1,38,0,1000000,0
3,2,3688370.0,4,119,1,1500000,0
5,1,11437093.0,4,78,1,750000,0
4,3,11455951.0,5,35,0,1500000,1
0,2,13214103.0,1,79,3,1000000,0
5,2,14990123.0,4,67,1,500000,1
2,3,13274352.0,1,87,2,1000000,0
3,3,8485945.0,1,34,0,1500000,0
0,3,10644220.0,5,97,2,1000000,1
3,0,5494528.0,1,71,3,500000,1
2,1,3576475.0,2,3,0,1000000,0
3,3,3641912.0,2,58,1,500000,1
4,3,4644311.0,3,32,2,750000,0
0,3,1785622.0,5,31,1,1500000,1
0,3,3462889.0,3,82,1,500000,0
2,3,11795470.0,2,43,0,500000,0
4,3,13914998.0,3,135,2,1000000,1
5,0,2896436.0,5,105,3,750000,1
3,3,10556148.0,5,1,1,500000,1
1,0,3695690.0,1,61,0,750000,0
3,3,11476844.0,4,14,0,750000,0
3,3,14899140.0,1,6,3,1000000,0
5,3,6670080.0,5,103,0,500000,0
3,3,6205815.0,2,10,1,1000000,1
4,1,4482410.0,2,71,0,1500000,0
4,3,8174192.0,1,90,2,1500000,0
0,0,2904355.0,5,149,2,500000,0
2,3,12564088.0,2,126,1,750000,0
1,0,6556093.0,5,97,2,500000,0
3,3,13312691.0,2,74,3,500000,0
3,0,3964722.0,5,115,0,1500000,0
5,2,8059442.0,3,51,1,1500000,1
2,3,7130761.0,5,56,3,750000,0
4,3,4401092.0,5,41,0,750000,1
1,0,12138837.0,1,32,3,500000,0
0,1,11411142.0,3,15,1,1000000,0
4,3,3222907.0,4,62,1,500000,0
2,2,12404575.0,1,28,3,750000,0
0,1,14563720.0,4,64,0,1000000,0
5,0,4370574.0,2,130,2,1500000,1
5,1,8382799.0,4,127,2,750000,0
3,2,9452017.0,5,36,3,750000,0
2,3,8421983.0,4,114,1,1000000,1
1,3,8026925.0,1,13,0,750000,0
0,3,6865986.0,1,15,0,750000,0
4,2,12777547.0,4,89,1,750000,0
2,2,13874888.0,1,22,2,750000,0
2,3,8259291.0,1,74,0,750000,0
5,0,9843528.0,4,25,3,750000,1
3,2,11933548.0,3,101,2,750000,0
3,3,11988017.0,3,117,3,750000,0
0,3,7032388.0,2,41,2,1500000,1
5,3,9520364.0,1,88,1,750000,0
2,3,8951747.0,4,110,3,1500000,1
1,3,13060990.0,1,120,3,1500000,1
5,3,5381857.0,5,97,1,500000,1
0,3,8211492.0,1,145,3,500000,0
0,3,1791464.0,1,57,2,1500000,0
5,3,6239400.0,3,130,0,1500000,0
0,3,12562437.0,4,96,0,750000,1
5,2,1618581.0,1,121,1,500000,1
4,3,6870807.0,3,62,2,1000000,1
5,1,5352256.0,2,137,3,500000,1
5,1,10227148.0,3,68,3,1500000,1
0,3,2001590.0,3,81,0,1500000,0
0,3,11307020.0,3,17,3,750000,1
3,3,4860492.0,1,117,0,750000,0
3,3,11518977.0,1,50,1,500000,1
4,3,2372328.0,2,112,3,750000,1
3,3,6309479.0,5,94,2,1000000,0
5,3,4610691.0,5,85,3,1000000,1
0,3,2858097.0,5,149,0,750000,0
3,3,13188962.0,2,146,1,1000000,1
3,3,14931835.0,5,74,0,1000000,0
4,3,9813157.0,5,109,3,500000,1
2,3,2794315.0,3,145,0,1000000,1
4,3,7587595.0,1,18,0,1500000,0
5,1,4075508.0,1,42,1,1500000,0
0,3,12264827.0,3,101,2,500000,1
4,3,11246919.0,3,45,3,750000,0
3,3,6010784.0,3,82,1,500000,0
0,3,11178075.0,1,17,2,750000,0
0,1,1664074.0,5,73,0,750000,0
3,2,4070466.0,3,14,2,750000,1
4,3,13543788.0,2,132,0,750000,0
3,2,14371728.0,3,82,0,750000,0
2,1,10679253.0,4,148,1,500000,1
0,1,4787093.0,3,120,0,750000,0
1,2,2517481.0,1,120,1,1000000,1
1,2,5094804.0,3,47,2,1000000,0
5,3,9951115.0,4,107,2,750000,0
3,3,10994318.0,2,108,0,1000000,0
3,3,3838377.0,5,9,1,1500000,1
5,3,14275981.0,3,79,0,500000,0
5,3,2306564.0,4,15,1,500000,1
5,3,5418949.0,4,19,1,750000,0
0,3,7547511.0,2,90,1,750000,0
2,2,11498081.0,1,26,2,1500000,1
3,1,11600560.0,3,92,1,750000,0
0,3,2237954.0,4,82,2,1000000,1
5,3,4408056.0,2,131,1,1500000,1
3,0,9340130.0,5,42,2,1000000,0
0,3,9857998.0,4,19,3,500000,1
2,0,10595781.0,2,17,2,1000000,0
0,3,7434261.0,1,76,2,500000,0
2,3,6010579.0,1,63,0,1000000,0
5,1,10568055.0,4,131,1,500000,1
2,3,10950012.0,4,107,3,750000,1
3,3,12868856.0,3,49,0,1000000,0
5,0,12502595.0,2,55,1,500000,0
3,3,12642521.0,4,99,3,1000000,0
1,3,14884537.0,3,52,3,1500000,0
4,1,9063493.0,3,100,3,750000,1
2,3,4035232.0,4,117,1,500000,1
4,0,9204694.0,1,118,3,1500000,0
4,3,3878907.0,2,7,3,1000000,0
2,3,8490607.0,2,46,0,1500000,0
5,3,6032688.0,1,46,2,1000000,0
1,3,9079751.0,4,100,1,750000,1
3,1,12718523.0,2,144,2,1500000,0
0,1,8633131.0,4,54,0,750000,0
3,3,3863162.0,4,62,2,500000,0
0,2,6381909.0,3,129,3,1000000,1
3,3,7180820.0,1,49,3,1000000,0
2,3,10803721.0,4,25,1,750000,0
1,3,4192794.0,5,10,1,750000,1
0,3,12100157.0,1,118,1,500000,0
5,3,8211492.0,2,144,0,1500000,0
3,2,14469633.0,3,92,1,1000000,0
3,3,10311940.0,2,134,0,1000000,0
0,3,9720038.0,2,144,3,500000,0
5,3,9777983.0,1,148,2,500000,0
5,3,1792575.0,2,80,3,750000,0
2,2,2959700.0,4,71,3,750000,1
2,3,9917944.0,2,78,3,1500000,1
2,3,4701078.0,3,43,1,500000,0
2,3,11531033.0,3,90,1,1500000,1
2,3,4107622.0,5,78,1,500000,1
2,3,3386963.0,3,26,2,1000000,1
1,3,6804120.0,2,121,1,500000,0
5,2,4272605.0,3,45,0,500000,0
2,0,2947947.0,1,63,3,1000000,1
5,3,7313775.0,3,68,2,500000,1
5,3,8742447.0,4,2,2,1500000,1
4,3,14065034.0,1,142,2,750000,0
1,3,13745364.0,5,108,2,750000,0
2,3,9778499.0,4,30,2,1500000,0
3,3,7972652.0,2,49,0,1000000,0
0,3,8106470.0,2,140,3,500000,1
3,3,8211492.0,2,44,2,1500000,0
1,3,2176296.0,4,13,3,750000,1
0,3,1879039.0,4,78,1,750000,1
1,3,2028714.0,4,126,2,1500000,1
5,3,8535655.0,1,98,2,750000,0
0,3,9868352.0,1,26,3,1500000,0
5,0,4411190.0,2,149,2,750000,0
3,3,14523960.0,3,48,2,1500000,1
3,1,10441047.0,2,66,2,500000,1
0,3,5642535.0,5,87,0,500000,0
0,0,1773452.0,1,79,0,500000,1
2,3,10667491.0,4,23,2,500000,1
1,2,5871047.0,1,81,0,750000,0
2,2,14832380.0,4,48,1,1000000,1
1,3,8684872.0,5,124,2,1500000,1
2,3,3689921.0,5,130,1,1000000,0
5,3,8927297.0,1,84,3,750000,0
0,3,4698156.0,4,20,1,750000,1
3,3,7301038.0,5,46,3,1000000,1
1,3,6322139.0,2,131,2,1000000,0
1,3,6454582.0,2,12,3,750000,0
3,3,2262371.0,4,40,3,750000,1
2,2,4757945.0,1,66,1,1500000,1
1,3,9779143.0,5,100,1,500000,0
5,1,7161064.0,1,78,1,500000,0
0,3,5268950.0,2,16,2,1500000,0
3,3,1642980.0,5,83,2,1000000,1
0,3,14585279.0,1,44,1,750000,0
1,3,12322611.0,3,134,2,1000000,0
1,0,8000785.0,4,100,2,500000,0
3,3,1757354.0,4,22,3,500000,1
5,2,9363438.0,3,18,3,1000000,0
4,3,13095551.0,2,12,1,500000,1
3,3,7454075.0,5,123,2,750000,1
4,3,11805768.0,4,117,3,1500000,1
2,3,9472368.0,3,51,0,1000000,0
4,3,13203866.0,3,71,2,750000,1
5,3,14260153.0,2,48,0,750000,0
2,3,3735883.0,2,19,1,500000,0
4,3,12439590.0,1,6,2,750000,1
2,3,2264265.0,4,84,1,1000000,0
4,3,8130840.0,1,53,1,750000,0
5,3,7168889.0,3,107,1,1500000,0
4,3,1808617.0,5,101,1,750000,1
4,3,12868954.0,5,48,1,750000,1
4,3,2244748.0,2,135,2,1500000,0
3,3,13525170.0,5,69,0,750000,1
3,3,11943018.0,5,11,2,750000,0
3,3,6587692.0,5,143,2,500000,0
5,0,12366356.0,3,131,2,1000000,1
2,3,14995655.0,5,122,3,500000,0
1,3,2234275.0,5,69,3,1000000,1
4,3,7714638.0,5,23,2,1500000,0
4,3,11186427.0,1,37,0,1500000,0
5,3,10922794.0,3,9,2,1500000,0
4,3,10487114.0,2,15,1,1000000,1
3,0,6939296.0,1,131,3,1000000,0
1,3,7694224.0,4,93,3,1000000,1
0,3,10445326.0,3,17,2,1500000,1
4,3,7524293.0,3,149,2,1000000,0
3,3,7693367.0,4,72,0,750000,0
0,3,11485461.0,4,149,0,500000,0
1,3,6818331.0,4,121,1,1500000,0
0,3,10241022.0,2,11,2,500000,0
3,1,4463944.0,5,72,2,750000,1
2,3,12236301.0,3,106,2,1000000,1
2,3,12652153.0,5,125,3,500000,1
0,3,13404752.0,5,35,1,750000,1
5,3,5448401.0,4,119,0,750000,0
0,3,1624932.0,2,14,3,500000,1
4,3,6734259.0,1,14,3,1500000,0
4,2,10156691.0,2,10,3,500000,0
2,2,11640106.0,5,140,3,1500000,1
5,3,8350807.0,2,38,1,1000000,0
3,0,7780757.0,4,108,2,1500000,0
4,3,8284672.0,1,119,0,1000000,0
2,3,5377809.0,4,34,0,500000,0
1,3,6376709.0,1,10,3,1000000,0
2,1,11447034.0,5,122,3,750000,0
4,3,13119039.0,1,145,1,1000000,1
4,3,4092316.0,1,145,3,1500000,0
2,3,7395725.0,1,115,0,1500000,0
3,3,10177828.0,2,1,0,1500000,0
0,3,6938757.0,2,12,2,1000000,0
4,3,13865373.0,5,103,2,1500000,0
2,3,11283893.0,1,4,0,1500000,0
2,3,14564637.0,3,141,0,750000,0
5,3,12811313.0,5,98,1,1000000,1
0,3,4164749.0,1,106,1,750000,0
1,3,14936812.0,1,85,0,1500000,0
3,3,8228926.0,2,121,3,1500000,1
1,3,5499453.0,5,132,2,1500000,0
0,3,11295586.0,1,82,0,1000000,0
0,3,8746813.0,1,19,3,500000,0
0,1,4421989.0,5,130,0,1500000,0
1,3,2484156.0,3,12,2,1500000,1
0,3,5213543.0,5,81,2,1500000,1
2,3,10752267.0,5,74,1,1500000,0
1,3,14831690.0,3,98,1,1000000,0
0,3,12125643.0,5,6,1,500000,0
2,3,2703920.0,1,136,1,500000,0
5,3,4608591.0,5,125,2,500000,1
0,3,13499562.0,3,51,3,1500000,0
1,1,2247852.0,4,11,3,1500000,1
4,2,11045226.0,5,127,3,500000,1
0,3,8211492.0,2,140,0,500000,0
4,3,13799755.0,1,73,1,1500000,0
2,2,8428655.0,1,2,1,1500000,0
5,3,10996418.0,2,8,2,750000,1
3,3,10700891.0,2,139,2,750000,1
5,1,12803471.0,5,124,0,750000,0
0,3,3321367.0,2,53,0,500000,0
4,3,4872863.0,4,10,3,1000000,1
4,1,4399033.0,3,112,2,1500000,0
1,3,14421277.0,2,8,1,750000,0
4,3,14958424.0,2,36,3,1000000,0
1,3,3078315.0,4,106,1,1500000,1
2,0,8927210.0,1,14,3,1000000,0
3,0,9798852.0,1,86,1,500000,0
0,2,7593073.0,5,149,0,500000,0
1,3,2849590.0,4,50,3,500000,1
3,2,13393046.0,3,20,1,750000,0
4,1,14468805.0,3,87,1,1500000,0
4,3,6866645.0,4,135,2,500000,1
3,1,7129905.0,3,137,3,750000,0
4,0,4545529.0,1,129,1,750000,0
2,3,12114149.0,3,38,2,750000,1
2,3,12699747.0,3,44,1,750000,1
3,3,6940107.0,4,86,3,500000,1
1,3,8603260.0,4,44,0,750000,0
1,3,8581530.0,3,74,3,500000,1
3,3,11358401.0,2,119,3,500000,0
1,0,14379120.0,4,122,1,750000,1
1,1,14833098.0,5,134,1,500000,1
2,2,4397706.0,5,145,3,1500000,0
1,3,9782356.0,1,51,2,1500000,1
5,3,4701473.0,3,38,2,1000000,0
0,3,10987265.0,2,51,2,1500000,1
4,3,10814823.0,1,10,1,500000,0
5,2,8007660.0,3,120,1,500000,1
1,1,12922057.0,4,149,3,1500000,1
2,3,2949991.0,5,70,0,750000,0
3,1,7539523.0,2,85,1,750000,0
1,0,6853966.0,5,57,3,500000,1
2,3,8247741.0,4,126,3,750000,1
0,0,6668554.0,3,39,0,1000000,0
1,3,12400518.0,4,33,2,1000000,1
3,3,1924528.0,4,18,3,1500000,1
2,3,12424218.0,5,57,3,1500000,0
2,3,8211492.0,2,96,3,750000,0
2,3,12603831.0,4,48,2,500000,0
0,3,9490001.0,5,42,2,1500000,0
1,3,10500789.0,2,27,0,1000000,0
0,3,13534133.0,3,74,1,1500000,1
4,3,7950219.0,3,110,2,1500000,1
4,3,3150824.0,1,32,1,1000000,1
1,3,6765481.0,5,26,1,500000,0
0,3,8202692.0,2,25,2,1500000,0
3,3,10027835.0,4,75,3,1500000,0
2,3,8211492.0,3,23,0,1500000,0
2,3,6692859.0,2,57,1,750000,0
1,3,10580745.0,5,126,3,1500000,0
4,2,1781854.0,1,87,2,1000000,1
4,3,8162314.0,3,31,1,500000,0
2,3,14762804.0,2,64,1,500000,0
1,1,7330395.0,2,33,1,1000000,1
0,0,10548935.0,2,2,3,750000,0
4,1,3157153.0,5,18,3,1000000,0
0,0,14234006.0,5,84,3,500000,1
4,3,11373863.0,5,35,1,1000000,1
4,3,8583610.0,4,114,1,750000,0
5,3,14044612.0,2,146,0,500000,0
4,3,9342680.0,3,110,0,750000,0
3,3,3306684.0,5,88,3,1000000,1
1,3,3309858.0,5,72,3,1500000,1
1,3,1979083.0,2,125,2,1000000,1
0,2,11282924.0,5,30,3,750000,1
4,2,3401740.0,4,53,0,1000000,1
3,3,7148393.0,4,138,0,1500000,0
0,0,14151235.0,5,87,0,750000,0
5,3,7784725.0,2,139,1,1000000,0
0,0,9252950.0,2,13,1,750000,1
0,3,8209914.0,2,40,3,750000,1
4,1,8895873.0,1,89,2,500000,0
5,3,6084946.0,5,68,2,500000,0
0,3,12184544.0,2,42,2,750000,0
3,3,9843199.0,4,147,1,1000000,1
3,3,5801400.0,3,94,0,1000000,0
1,3,6141094.0,3,19,0,1000000,0
5,3,8211492.0,2,23,1,1500000,1
5,3,12800674.0,3,54,2,750000,0
1,3,9373491.0,3,65,2,750000,1
0,3,5270771.0,1,140,3,1500000,0
5,1,3040724.0,4,24,3,750000,1
3,3,7375293.0,4,34,2,750000,0
3,3,3465730.0,1,53,1,1500000,0
4,3,14451138.0,1,136,2,500000,0
5,2,8843728.0,3,18,3,750000,0
0,3,14209222.0,5,57,2,1500000,0
1,1,13971898.0,3,112,1,1000000,0
1,0,10564281.0,1,5,0,500000,0
0,3,8597037.0,4,13,1,1000000,1
2,3,5562224.0,3,83,1,750000,0
4,0,11777137.0,5,29,3,500000,0
1,2,2594316.0,3,3,1,1500000,1
5,3,5800915.0,2,90,1,750000,1
4,3,8260403.0,3,104,3,1500000,0
5,2,14856122.0,1,123,3,500000,1
3,3,8120241.0,4,76,0,1000000,0
4,1,3136675.0,4,130,2,750000,1
1,3,10595281.0,1,108,1,750000,0
4,3,2301849.0,2,82,3,1500000,1
4,0,11617273.0,1,77,0,500000,0
4,3,2661068.0,3,2,2,1500000,1
2,3,8870131.0,1,127,3,500000,0
4,3,2535891.0,1,135,2,750000,0
5,3,2253494.0,2,26,2,500000,1
3,3,10311785.0,3,88,1,750000,0
0,3,10531370.0,5,16,1,500000,1
4,3,9111432.0,5,73,3,1000000,1
1,2,10656484.0,4,32,2,500000,0
4,3,5204697.0,1,15,3,1000000,1
1,3,6777420.0,4,141,3,500000,0
5,3,11094792.0,2,5,2,500000,1
1,1,6827580.0,5,74,3,1500000,1
0,2,8772003.0,1,52,2,1500000,1
3,3,3260511.0,2,77,2,750000,0
1,3,14472682.0,2,110,2,1500000,0
1,3,5041815.0,1,143,2,500000,0
3,2,9934610.0,2,106,0,1500000,0
0,0,8889844.0,1,127,2,500000,1
4,3,6110146.0,1,7,1,1000000,0
1,0,10603947.0,3,40,1,500000,0
3,2,5639289.0,4,99,1,750000,1
5,3,6851826.0,2,143,2,1000000,0
3,3,7890459.0,2,85,1,750000,1
5,3,3284006.0,3,65,0,750000,0
0,3,8211492.0,3,132,3,750000,0
4,0,6413478.0,3,11,2,1500000,0
3,3,10517497.0,5,108,1,750000,0
2,3,9803143.0,5,26,0,1000000,0
1,3,12255716.0,5,85,3,500000,0
0,3,7853300.0,1,123,0,750000,0
3,3,7468333.0,2,144,1,1000000,1
1,3,14478307.0,4,68,0,750000,0
3,3,13733494.0,1,104,3,500000,0
5,3,10814387.0,2,80,1,1000000,0
3,3,7710958.0,2,53,3,1000000,1
2,3,8101457.0,3,106,0,500000,0
3,3,8179155.0,3,44,2,1000000,0
3,3,7237580.0,1,140,2,500000,1
2,3,7025724.0,3,90,2,1000000,0
0,3,7525095.0,2,101,2,1000000,0
3,3,12418440.0,3,97,3,500000,0
2,3,13207759.0,5,9,2,500000,1
1,2,8211492.0,3,12,3,1000000,0
5,3,8198541.0,2,69,1,1000000,0
5,3,1691387.0,1,28,2,500000,1
3,0,8211492.0,4,56,3,1500000,0
0,3,6108474.0,3,99,2,500000,1
0,3,12672675.0,2,110,2,1000000,1
1,1,11262681.0,4,77,2,1000000,0
3,2,4035394.0,4,103,3,1000000,1
5,3,14445828.0,5,106,0,500000,0
0,3,14260960.0,4,109,2,1000000,1
3,3,7096526.0,2,112,2,1500000,0
0,3,11313271.0,2,58,1,750000,1
2,3,12357754.0,3,78,0,1500000,0
0,3,4791070.0,3,75,3,500000,1
5,3,2186268.0,3,42,1,1000000,1
4,3,2301955.0,4,68,2,500000,1
1,0,10999617.0,4,33,1,750000,0
1,3,3513148.0,5,71,1,500000,1
5,3,8335735.0,3,56,2,1000000,1
0,3,5967223.0,1,105,0,750000,0
3,3,11408201.0,5,101,0,750000,0
0,3,3944291.0,1,51,1,1000000,1
5,3,1647745.0,4,74,2,1000000,1
1,3,5292824.0,5,121,3,1000000,1
0,3,11619600.0,5,143,1,500000,1
1,3,1637686.0,2,143,3,1500000,0
3,3,11956244.0,4,5,1,500000,1
1,3,6750295.0,4,83,1,500000,0
1,3,5651923.0,5,51,2,1500000,0
4,1,7179980.0,4,10,2,1000000,1
4,3,11871652.0,5,140,3,1000000,0
2,3,6649534.0,2,4,3,1500000,0
4,3,13812829.0,5,95,0,1500000,0
1,3,4814344.0,4,146,2,500000,1
5,1,1549976.0,4,80,1,750000,1
1,3,4022620.0,5,36,1,1500000,1
5,2,12251736.0,5,25,0,500000,0
5,3,13256219.0,5,98,2,750000,1
4,3,14294421.0,3,101,1,1000000,1
0,3,13531301.0,4,9,0,1000000,0
3,0,3527320.0,4,61,0,500000,0
4,3,3312105.0,3,53,1,500000,0
4,3,7261703.0,5,146,1,1500000,1
0,1,3447238.0,2,63,3,1000000,1
3,3,11284404.0,5,121,2,500000,0
1,3,7830034.0,5,105,3,1000000,1
2,3,6309045.0,3,4,0,1000000,0
